SP500_ret,realized_vol,impliedvix,datetime
0.01767,0.000112,0.000098,02-Jan-90
-0.002589,0.000037,0.000109,03-Jan-90
-0.008678,0.000089,0.000122,04-Jan-90
-0.009776,0.000079,0.000134,05-Jan-90
0.004504,0.000035,0.000136,08-Jan-90
-0.011857,0.000048,0.000163,09-Jan-90
-0.006629,0.000076,0.000167,10-Jan-90
0.003507,0.000037,0.000133,11-Jan-90
-0.024985,0.000244,0.000201,12-Jan-90
-0.008657,0.00004,0.000229,15-Jan-90
0.011066,0.000123,0.000193,16-Jan-90
-0.00988,0.00009,0.000193,17-Jan-90
0.002339,0.000168,0.000196,18-Jan-90
0.002835,0.000021,0.000167,19-Jan-90
-0.026199,0.000134,0.000236,22-Jan-90
0.003716,0.000121,0.000202,23-Jan-90
-0.004079,0.000603,0.000213,24-Jan-90
-0.012737,0.000095,0.000217,25-Jan-90
-0.000859,0.000159,0.000228,26-Jan-90
-0.001843,0.000182,0.000231,29-Jan-90
-0.00685,0.000143,0.000246,30-Jan-90
0.01871,0.000071,0.000213,31-Jan-90
-0.000882,0.000029,0.000205,01-Feb-90
0.006457,0.000033,0.000196,02-Feb-90
0.002806,0.000013,0.000199,05-Feb-90
-0.006621,0.000046,0.000202,06-Feb-90
0.01233,0.000169,0.000195,07-Feb-90
-0.00237,0.000053,0.000187,08-Feb-90
0.00198,0.000049,0.000186,09-Feb-90
-0.010668,0.000075,0.000197,12-Feb-90
0.002844,0.000061,0.000187,13-Feb-90
0.002986,0.000021,0.000161,14-Feb-90
0.008637,0.00002,0.000128,15-Feb-90
-0.006501,0.000025,0.000143,16-Feb-90
-0.014318,0.000162,0.000172,20-Feb-90
-0.000976,0.000129,0.000189,21-Feb-90
-0.00603,0.000098,0.000168,22-Feb-90
-0.00477,0.000078,0.000186,23-Feb-90
0.013848,0.00007,0.000184,26-Feb-90
0.004826,0.000055,0.00017,27-Feb-90
0.004923,0.000051,0.00016,28-Feb-90
0.002558,0.000032,0.000159,01-Mar-90
0.00838,0.000037,0.000151,02-Mar-90
-0.005379,0.000032,0.00016,05-Mar-90
0.012477,0.000043,0.00014,06-Mar-90
-0.002904,0.000029,0.000121,07-Mar-90
0.009805,0.000042,0.000129,08-Mar-90
-0.006901,0.000027,0.000136,09-Mar-90
0.002187,0.000045,0.000133,12-Mar-90
-0.007915,0.000041,0.000147,13-Mar-90
0.002586,0.000026,0.000128,14-Mar-90
0.003556,0.000025,0.000117,15-Mar-90
0.011295,0.000048,0.000103,16-Mar-90
0.004727,0.000075,0.000111,19-Mar-90
-0.005722,0.000071,0.00012,20-Mar-90
-0.005372,0.000015,0.000134,21-Mar-90
-0.011993,0.00008,0.000171,22-Mar-90
0.004547,0.000017,0.000138,23-Mar-90
0.001215,0.000055,0.000127,26-Mar-90
0.011397,0.000036,0.000146,27-Mar-90
0.001463,0.000025,0.000129,28-Mar-90
-0.003544,9.00E-06,0.000113,29-Mar-90
-0.002497,0.000063,0.000129,30-Mar-90
-0.003654,0.000101,0.000173,02-Apr-90
0.01448,0.000049,0.000138,03-Apr-90
-0.007448,0.000037,0.00016,04-Apr-90
-0.001056,0.000021,0.000149,05-Apr-90
-0.001909,0.000022,0.000157,06-Apr-90
0.003786,9.00E-06,0.000164,09-Apr-90
0.002048,0.000011,0.000156,10-Apr-90
-0.000439,0.000013,0.000104,11-Apr-90
0.007053,0.00002,0.00013,12-Apr-90
0.001161,0.000091,0.000142,16-Apr-90
-0.000174,0.000032,0.000137,17-Apr-90
-0.011555,0.000028,0.00017,18-Apr-90
-0.007749,0.000048,0.000167,19-Apr-90
-0.008823,0.000059,0.00018,20-Apr-90
-0.012219,0.000062,0.000193,23-Apr-90
-0.002086,0.000035,0.000156,24-Apr-90
0.005042,0.000038,0.000144,25-Apr-90
0.002677,0.000093,0.000136,26-Apr-90
-0.01151,0.000068,0.000163,27-Apr-90
0.005122,0.000031,0.000126,30-Apr-90
0.004374,0.000043,0.000112,01-May-90
0.006689,0.00002,0.000123,02-May-90
0.003253,0.000032,0.000105,03-May-90
0.008368,0.000084,0.000099,04-May-90
0.006304,0.000017,0.000103,07-May-90
0.004337,0.000018,0.000113,08-May-90
0.002482,0.000037,0.000115,09-May-90
0.002796,0.000017,0.000114,10-May-90
0.023513,0.000103,0.00013,11-May-90
0.007782,0.000087,0.000134,14-May-90
-0.001326,0.000023,0.000126,15-May-90
-0.000791,0.000045,0.000104,16-May-90
0.001327,0.000041,0.000099,17-May-90
0.000479,0.000017,0.000098,18-May-90
0.00943,0.000061,0.000092,21-May-90
0.0012,0.000095,0.000105,22-May-90
0.002396,0.000027,0.000098,23-May-90
-0.002452,0.000019,0.000104,24-May-90
-0.010744,0.000063,0.000099,25-May-90
0.016974,0.00005,0.000116,29-May-90
0.000582,0.00004,0.000101,30-May-90
0.001025,5.00E-06,0.0001,31-May-90
0.005329,0.000028,0.000097,01-Jun-90
0.011608,0.000036,0.000112,04-Jun-90
-0.002071,0.000023,0.000119,05-Jun-90
-0.004593,0.000028,0.0001,06-Jun-90
-0.004972,0.000042,0.000094,07-Jun-90
-0.012302,0.000058,0.000102,08-Jun-90
0.008107,0.000024,0.000088,11-Jun-90
0.012695,0.000074,0.000091,12-Jun-90
-0.003693,0.000046,0.0001,13-Jun-90
-0.005496,0.00004,0.0001,14-Jun-90
0.000028,0.00003,0.000084,15-Jun-90
-0.016755,0.000049,0.000104,18-Jun-90
0.004445,0.000051,0.000077,19-Jun-90
0.001756,0.000047,0.000077,20-Jun-90
0.003808,0.00003,0.000072,21-Jun-90
-0.01408,0.00026,0.000124,22-Jun-90
-0.008817,0.000045,0.000096,25-Jun-90
-0.00071,0.000101,0.000088,26-Jun-90
0.00871,0.00005,0.000085,27-Jun-90
0.006987,0.00002,0.000087,28-Jun-90
0.00109,0.000017,0.000079,29-Jun-90
0.004237,0.000016,0.000087,02-Jul-90
